x	y	headinng	sonar_ang	read	Expected 20	Expected 25	Expected 30	Expected 35	Expected 40	Expected 45	Expected 50	Erro 20	Erro 25	Erro 30	Erro 35	Erro 40	Erro 45	Erro 50	Linhas ruins
59	66	0	-24	59	66,1611633301	66	66	66	66	66	66	51,2822602401	0,025973619	0	0	0	0	0	7,3297476941
59	66	0	-25	59	66,2521057129	66	66	66	66	66	66	52,5930372709	0,0635572905	0	0	0	0	0	7,5223706516
59	66	0	-26	59	66,3635482788	66,010055542	66	66	66	66	66	54,2218432543	0,124957115	0,0001011139	0	0	0	0	7,763843069
59	66	0	-27	59	66,4956512451	66,0402297974	66	66	66	66	66	56,1847875884	0,2074086951	0,0016184366	0	0	0	0	8,0562592457
59	66	0	-28	59	66,6486206055	66,0905761719	66	66	66	66	66	58,5013971664	0,3114135899	0,0082040429	0	0	0	0	8,4030021142
59	66	0	-29	59	66,8227005005	66,1611633301	66	66	66	66	66	61,1946431203	0,4376314278	0,025973619	0	0	0	0	8,8083211667
59	66	0	-30	59	67,018157959	66,2521057129	66	66	66	66	66	64,2908570552	0,5868360437	0,0635572905	0	0	0	0	9,2773214842
59	66	0	-31	60	67,2353057861	66,3635482788	66,010055542	66	66	66	66	52,3496498188	0,7599611516	0,124957115	0,0001011139	0	0	0	7,6049527428
59	66	0	-32	60	67,4744796753	66,4956512451	66,0402297974	66	66	66	66	55,8678464164	0,9581050957	0,2074086951	0,0016184366	0	0	0	8,147854092
59	66	0	-33	60	67,7360687256	66,6486206055	66,0905761719	66	66	66	66	59,846759327	1,1825434139	0,3114135899	0,0082040429	0	0	0	8,764131482
59	66	0	-34	60	68,0205001831	66,8227005005	66,1611633301	66	66	66	66	64,3284231872	1,4347240797	0,4376314278	0,025973619	0	0	0	9,4609646162
59	66	0	-35	60	68,3282241821	67,018157959	66,2521057129	66	66	66	66	69,3593180278	1,716273509	0,5868360437	0,0635572905	0	0	0	10,2465692673
59	66	0	-36	60	68,6597595215	67,2353057861	66,3635482788	66,010055542	66	66	66	74,9914349699	2,0290684442	0,7599611516	0,124957115	0,0001011139	0	0	11,1293603992
59	66	0	-37	60	69,0156555176	67,4744796753	66,4956512451	66,0402297974	66	66	66	81,2820444116	2,3752229768	0,9581050957	0,2074086951	0,0016184366	0	0	12,1177713737
59	66	0	-38	61	69,3965072632	67,7360687256	66,6486206055	66,0905761719	66	66	66	70,5013342207	2,7570561371	1,1825434139	0,3114135899	0,0082040429	0	0	10,6800787721
59	66	0	-39	61	69,8029632568	68,0205001831	66,8227005005	66,1611633301	66	66	66	77,4921621012	3,1771746092	1,4347240797	0,4376314278	0,025973619	0	0	11,7953808338
59	66	0	-40	61	70,2357254028	68,3282241821	67,018157959	66,2521057129	66	66	66	85,2986237165	3,638560907	1,716273509	0,5868360437	0,0635572905	0	0	13,0434073524
59	66	0	-41	61	70,69556427	68,6597595215	67,2353057861	66,3635482788	66,010055542	66	66	94,0039665141	4,1445009742	2,0290684442	0,7599611516	0,124957115	0,0001011139	0	14,4375079018
59	66	0	-42	62	71,1832962036	69,0156555176	67,4744796753	66,4956512451	66,0402297974	66	66	84,3329291633	4,6986661438	2,3752229768	0,9581050957	0,2074086951	0,0016184366	0	13,224850073
59	66	0	-43	61	71,6997833252	69,3965072632	67,7360687256	66,6486206055	66,0905761719	66	66	114,4853632061	5,3050806178	2,7570561371	1,1825434139	0,3114135899	0,0082040429	0	17,721380144
59	66	0	-44	62	72,2459945679	69,8029632568	68,0205001831	66,8227005005	66,1611633301	66	66	104,9804046848	5,9684019867	3,1771746092	1,4347240797	0,4376314278	0,025973619	0	16,5749014867
59	66	0	-45	62	72,8229446411	70,2357254028	68,3282241821	67,018157959	66,2521057129	66	66	117,1361307046	6,6937033869	3,638560907	1,716273509	0,5868360437	0,0635572905	0	18,5478659774
59	66	0	-46	63	73,4317321777	70,69556427	68,6597595215	67,2353057861	66,3635482788	66,010055542	66	108,821036228	7,4866148192	4,1445009742	2,0290684442	0,7599611516	0,124957115	0,0001011139	17,6237485494
59	66	0	-47	63	74,0735321045	71,1832962036	69,0156555176	67,4744796753	66,4956512451	66,0402297974	66	122,6231132692	8,3534635627	4,6986661438	2,3752229768	0,9581050957	0,2074086951	0,0016184366	19,8882283114
59	66	0	-48	64	74,7496261597	71,6997833252	69,3965072632	67,7360687256	66,6486206055	66,0905761719	66	115,5544625726	9,301541315	5,3050806178	2,7570561371	1,1825434139	0,3114135899	0,0082040429	19,2029002413
59	66	0	-49	64	75,4613647461	72,2459945679	69,8029632568	68,0205001831	66,8227005005	66,1611633301	66	131,362881843	10,338605383	5,9684019867	3,1771746092	1,4347240797	0,4376314278	0,025973619	21,8207704212
59	66	0	-50	65	76,2102355957	72,8229446411	70,2357254028	68,3282241821	67,018157959	66,2521057129	66	125,6693821112	11,473740011	6,6937033869	3,638560907	1,716273509	0,5868360437	0,0635572905	21,4060076085
59	66	0	-51	107	76,9978027344	73,4317321777	70,69556427	68,6597595215	67,2353057861	66,3635482788	66,010055542	900,1318407655	12,7168592149	7,4866148192	4,1445009742	2,0290684442	0,7599611516	0,124957115	132,4848289264
59	66	0	-52	107	77,8257675171	74,0735321045	71,1832962036	69,0156555176	67,4744796753	66,4956512451	66,0402297974	851,1358409669	14,0792705916	8,3534635627	4,6986661438	2,3752229768	0,9581050957	0,2074086951	125,9725682904
59	66	0	-53	107	78,6959762573	74,7496261597	71,6997833252	69,3965072632	67,7360687256	66,6486206055	66,0905761719	801,117760026	15,5736790933	9,301541315	5,3050806178	2,7570561371	1,1825434139	0,3114135899	119,3641534561
59	66	0	-54	107	79,6103820801	75,4613647461	72,2459945679	69,8029632568	68,0205001831	66,8227005005	66,1611633301	750,1911697993	17,2143448377	10,338605383	5,9684019867	3,1771746092	1,4347240797	0,4376314278	112,6802931605
59	66	0	-55	107	80,5711212158	76,2102355957	72,8229446411	70,2357254028	68,3282241821	67,018157959	66,2521057129	698,4856337889	19,0173233917	11,473740011	6,6937033869	3,638560907	1,716273509	0,5868360437	105,9445815769
59	66	0	-56	107	81,5804901123	76,9978027344	73,4317321777	70,69556427	68,6597595215	67,2353057861	66,3635482788	646,1514829306	21,0010236038	12,7168592149	7,4866148192	4,1445009742	2,0290684442	0,7599611516	99,1842158769
